Name of the Nucleophile,Nucleophile ID Number,Type Of Nucleophile,Solvent,N,sN,EHF,EDFT,ECORR,EHF(HOMO),EDFT(HOMO),ECORR(HOMO),EHF(LUMO),EDFT(LUMO),ECORR(LUMO),cHF,cDFT,cCORR,hHF,hDFT,hCORR,mHF,mDFT,mCORR,wHF,wDFT,wCORR,dHF,dDFT,dCORR,HHF,HDFT,HCORR,GHF,GDFT,GCORR,NBOHF,NBODFT,NBOCORR,Mol.Mass,Surface Area,Volume,Ovality,Diameter,RG,E*DFT,E*HF,E*CORR,E*DFT(HOMO),E*HF(HOMO),E*CORR(HOMO),E*DFT(LUMO),E*HF(LUMO),E*CORR(LUMO),c*DFT,c*HF,c*CORR,h*DFT,h*HF,h*CORR,m*DFT,m*HF,m*CORR,w*DFT,w*HF,w*CORR,d*DFT,d*HF,d*CORR,H*DFT,H*HF,H*CORR,G*DFT,G*HF,G*CORR
Histidine (anionic),N129,N-Nucleophile,Water,13.830,0.540,-545.205,-548.458,-3.253,-0.309,-0.209,0.100,0.171,0.027,-0.144,0.069,0.091,0.022,0.480,0.236,-0.244,-0.069,-0.091,-0.022,0.005,0.018,0.013,12.915,12.104,-0.811,-342015.129,-344063.445,-2048.315,-342044.724,-344093.763,-2049.039,-0.868,-0.876,-0.008,154.147,196.023,208.744,1.152,10.357,2.491,-76.455,-76.055,-0.400,-0.304,-0.505,0.201,0.040,0.164,-0.124,0.132,0.171,-0.039,0.344,0.669,-0.325,-0.132,-0.171,0.039,0.025,0.022,0.004,2.301,2.356,-0.055,-47960.306,-47708.291,-252.015,-47973.755,-47721.697,-252.058
Methylamine ,N130,N-Nucleophile,Water,13.850,0.530,-95.247,-95.893,-0.646,-0.393,-0.242,0.151,0.162,0.046,-0.116,0.116,0.098,-0.018,0.555,0.288,-0.267,-0.116,-0.098,0.018,0.012,0.017,0.005,1.744,1.699,-0.045,-59723.055,-60130.846,-407.791,-59740.087,-60147.959,-407.872,-0.849,-0.845,0.004,31.057,88.770,73.740,1.044,5.344,0.902,-76.455,-76.055,-0.400,-0.304,-0.505,0.201,0.040,0.164,-0.124,0.132,0.171,-0.039,0.344,0.669,-0.325,-0.132,-0.171,0.039,0.025,0.022,0.004,2.301,2.356,-0.055,-47960.306,-47708.291,-252.015,-47973.755,-47721.697,-252.058
"DHPB (3,4-dihydro-2H-benzo[4,5]thiazolo[3,2-a]pyrimidine)",N131,N-Nucleophile,Dichloromethane,13.860,0.780,-891.050,-894.933,-3.883,-0.287,-0.205,0.082,0.118,-0.021,-0.139,0.085,0.113,0.029,0.405,0.184,-0.221,-0.085,-0.113,-0.029,0.009,0.035,0.026,5.145,4.712,-0.433,-559012.970,-561457.309,-2444.339,-559041.610,-561486.669,-2445.059,-0.669,-0.582,0.087,190.265,230.970,262.164,1.166,11.338,2.519,-959.769,-958.050,-1.719,-0.317,-0.450,0.133,-0.024,0.135,-0.159,0.171,0.158,0.013,0.293,0.585,-0.292,-0.171,-0.158,-0.013,0.050,0.021,0.028,2.237,2.431,-0.194,-602243.077,-601163.243,-1079.834,-602262.364,-601182.385,-1079.979
Glutamate (dianionic),N132,N-Nucleophile,Water,13.960,0.540,-547.716,-550.844,-3.128,-0.350,-0.192,0.158,0.175,0.559,0.384,0.088,-0.184,-0.271,0.525,0.751,0.226,-0.088,0.184,0.271,0.007,0.022,0.015,7.718,7.196,-0.522,-343605.364,-345574.675,-1969.311,-343635.489,-345605.654,-1970.165,-0.887,-0.894,-0.007,145.113,181.638,189.056,1.140,10.285,2.652,-76.455,-76.055,-0.400,-0.304,-0.505,0.201,0.040,0.164,-0.124,0.132,0.171,-0.039,0.344,0.669,-0.325,-0.132,-0.171,0.039,0.025,0.022,0.004,2.301,2.356,-0.055,-47960.306,-47708.291,-252.015,-47973.755,-47721.697,-252.058
"N-(1,3-dimethylimidazolidin-2-ylidene)-1-phenylmethanamine",N133,N-Nucleophile,Dichloromethane,14.000,0.700,-627.795,-631.917,-4.122,-0.325,-0.215,0.110,0.130,-0.012,-0.142,0.098,0.114,0.016,0.455,0.203,-0.252,-0.098,-0.114,-0.016,0.010,0.032,0.021,4.190,4.051,-0.139,-393752.936,-396351.783,-2598.847,-393787.997,-396388.102,-2600.105,-0.731,-0.646,0.085,203.283,285.967,329.616,1.239,12.696,3.193,-959.769,-958.050,-1.719,-0.317,-0.450,0.133,-0.024,0.135,-0.159,0.171,0.158,0.013,0.293,0.585,-0.292,-0.171,-0.158,-0.013,0.050,0.021,0.028,2.237,2.431,-0.194,-602243.077,-601163.243,-1079.834,-602262.364,-601182.385,-1079.979
Leucine (anionic),N134,N-Nucleophile,Water,14.010,0.520,-438.613,-441.344,-2.731,-0.339,-0.194,0.145,0.166,0.051,-0.115,0.087,0.072,-0.015,0.505,0.245,-0.260,-0.087,-0.072,0.015,0.007,0.010,0.003,11.502,10.577,-0.925,-275106.873,-276828.323,-1721.450,-275136.378,-276858.556,-1722.178,-0.868,-0.888,-0.020,130.165,192.808,211.500,1.123,9.784,2.361,-76.455,-76.055,-0.400,-0.304,-0.505,0.201,0.040,0.164,-0.124,0.132,0.171,-0.039,0.344,0.669,-0.325,-0.132,-0.171,0.039,0.025,0.022,0.004,2.301,2.356,-0.055,-47960.306,-47708.291,-252.015,-47973.755,-47721.697,-252.058
"1,3-Diaminopropane ",N135,N-Nucleophile,Water,14.020,0.540,-228.380,-229.908,-1.528,-0.391,-0.243,0.148,0.162,0.045,-0.117,0.115,0.099,-0.016,0.553,0.288,-0.265,-0.115,-0.099,0.016,0.012,0.017,0.005,2.080,1.976,-0.104,-143212.850,-144177.646,-964.796,-143235.874,-144201.051,-965.177,-0.856,-0.853,0.003,74.125,150.297,148.727,1.107,9.008,1.935,-76.455,-76.055,-0.400,-0.304,-0.505,0.201,0.040,0.164,-0.124,0.132,0.171,-0.039,0.344,0.669,-0.325,-0.132,-0.171,0.039,0.025,0.022,0.004,2.301,2.356,-0.055,-47960.306,-47708.291,-252.015,-47973.755,-47721.697,-252.058
N-methylhydroxylamine ,N136,N-Nucleophile,MeCN,14.100,0.760,-170.074,-171.084,-1.010,-0.397,-0.248,0.149,0.165,0.046,-0.119,0.116,0.101,-0.015,0.562,0.294,-0.268,-0.116,-0.101,0.015,0.012,0.017,0.005,0.902,0.836,-0.066,-106673.512,-107310.765,-637.253,-106692.430,-107329.928,-637.498,-0.339,-0.353,-0.014,47.057,100.089,85.743,1.065,6.223,1.141,-132.801,-131.970,-0.831,-0.341,-0.475,0.134,0.029,0.156,-0.127,0.156,0.160,-0.004,0.370,0.631,-0.261,-0.156,-0.160,0.004,0.033,0.020,0.013,4.728,4.934,-0.206,-83302.890,-82779.224,-523.666,-83320.775,-82796.997,-523.778
"2,3,4,6,7,8-Hexahydropyrimido[2,1-b][1,3]thiazine",N137,N-Nucleophile,Dichloromethane,14.100,0.820,-778.576,-781.783,-3.207,-0.323,-0.214,0.109,0.150,0.020,-0.130,0.087,0.097,0.011,0.473,0.234,-0.239,-0.087,-0.097,-0.011,0.008,0.020,0.012,6.661,6.437,-0.224,-488431.144,-490451.655,-2020.511,-488458.823,-490480.023,-2021.200,-0.710,-0.620,0.090,156.249,207.152,234.113,1.128,9.747,2.180,-959.769,-958.050,-1.719,-0.317,-0.450,0.133,-0.024,0.135,-0.159,0.171,0.158,0.013,0.293,0.585,-0.292,-0.171,-0.158,-0.013,0.050,0.021,0.028,2.237,2.431,-0.194,-602243.077,-601163.243,-1079.834,-602262.364,-601182.385,-1079.979
Ethanolamine ,N138,N-Nucleophile,MeCN,14.110,0.710,-209.172,-210.454,-1.282,-0.395,-0.245,0.150,0.163,0.043,-0.120,0.116,0.101,-0.015,0.558,0.288,-0.270,-0.116,-0.101,0.015,0.012,0.018,0.006,1.514,1.398,-0.116,-131188.020,-131996.905,-808.886,-131209.179,-132018.437,-809.258,-0.860,-0.852,0.008,61.083,122.321,113.045,1.082,7.607,1.535,-132.801,-131.970,-0.831,-0.341,-0.475,0.134,0.029,0.156,-0.127,0.156,0.160,-0.004,0.370,0.631,-0.261,-0.156,-0.160,0.004,0.033,0.020,0.013,4.728,4.934,-0.206,-83302.890,-82779.224,-523.666,-83320.775,-82796.997,-523.778
Phenylalanine (anionic),N139,N-Nucleophile,Water,14.120,0.530,-551.077,-554.479,-3.402,-0.323,-0.210,0.113,0.135,-0.007,-0.142,0.094,0.109,0.015,0.458,0.203,-0.255,-0.094,-0.109,-0.015,0.010,0.029,0.019,13.607,13.111,-0.496,-345680.969,-347822.945,-2141.976,-345711.673,-347854.133,-2142.461,-0.866,-0.876,-0.010,164.181,217.859,239.920,1.167,10.559,2.679,-76.455,-76.055,-0.400,-0.304,-0.505,0.201,0.040,0.164,-0.124,0.132,0.171,-0.039,0.344,0.669,-0.325,-0.132,-0.171,0.039,0.025,0.022,0.004,2.301,2.356,-0.055,-47960.306,-47708.291,-252.015,-47973.755,-47721.697,-252.058
2-Bz super-dmap ,N140,N-Nucleophile,MeCN,14.190,0.670,-1250.450,-1258.285,-7.835,-0.315,-0.217,0.098,0.093,-0.053,-0.146,0.111,0.135,0.024,0.408,0.164,-0.244,-0.111,-0.135,-0.024,0.015,0.056,0.040,2.060,2.880,0.820,-784391.582,-789324.667,-4933.085,-784438.683,-789373.352,-4934.669,-0.543,-0.492,0.051,384.431,419.254,522.765,1.336,14.609,3.986,-132.801,-131.970,-0.831,-0.341,-0.475,0.134,0.029,0.156,-0.127,0.156,0.160,-0.004,0.370,0.631,-0.261,-0.156,-0.160,0.004,0.033,0.020,0.013,4.728,4.934,-0.206,-83302.890,-82779.224,-523.666,-83320.775,-82796.997,-523.778
4-Methoxyaniline ,N141,N-Nucleophile,Water,14.280,0.680,-399.715,-402.237,-2.522,-0.296,-0.208,0.088,0.125,-0.015,-0.140,0.086,0.112,0.026,0.421,0.193,-0.228,-0.086,-0.112,-0.026,0.009,0.032,0.024,1.541,2.194,0.653,-250719.928,-252308.769,-1588.841,-250746.491,-252336.548,-1590.057,-0.829,-0.793,0.036,123.152,188.672,196.816,1.153,10.313,2.223,-76.455,-76.055,-0.400,-0.304,-0.505,0.201,0.040,0.164,-0.124,0.132,0.171,-0.039,0.344,0.669,-0.325,-0.132,-0.171,0.039,0.025,0.022,0.004,2.301,2.356,-0.055,-47960.306,-47708.291,-252.015,-47973.755,-47721.697,-252.058
Benzylamine ,N142,N-Nucleophile,MeCN,14.290,0.670,-324.844,-327.002,-2.158,-0.331,-0.242,0.089,0.127,-0.012,-0.139,0.102,0.127,0.025,0.458,0.230,-0.228,-0.102,-0.127,-0.025,0.011,0.035,0.024,1.842,1.971,0.129,-203740.416,-205100.259,-1359.843,-203765.330,-205125.487,-1360.157,-0.850,-0.851,-0.001,107.153,177.022,184.399,1.130,9.522,2.033,-132.801,-131.970,-0.831,-0.341,-0.475,0.134,0.029,0.156,-0.127,0.156,0.160,-0.004,0.370,0.631,-0.261,-0.156,-0.160,0.004,0.033,0.020,0.013,4.728,4.934,-0.206,-83302.890,-82779.224,-523.666,-83320.775,-82796.997,-523.778
Ethyl glycinate ,N143,N-Nucleophile,DMSO,14.300,0.670,-361.004,-363.164,-2.160,-0.404,-0.251,0.153,0.157,0.003,-0.154,0.124,0.124,0.000,0.561,0.254,-0.307,-0.124,-0.124,0.000,0.014,0.030,0.017,3.531,3.189,-0.342,-226436.549,-227798.079,-1361.530,-226463.022,-227825.215,-1362.193,-0.845,-0.843,0.002,103.120,171.741,168.809,1.163,10.113,2.106,-553.272,-551.617,-1.655,-0.237,-0.369,0.132,0.028,0.154,-0.126,0.105,0.108,-0.003,0.265,0.523,-0.258,-0.105,-0.108,0.003,0.021,0.011,0.010,5.487,6.084,-0.597,-347129.964,-346087.646,-1042.318,-347152.046,-346109.226,-1042.820
"2-Benzyl-1,1,3,3-tetramethylguanidine",N144,N-Nucleophile,Dichloromethane,14.360,0.790,-628.941,-633.114,-4.173,-0.326,-0.215,0.111,0.133,-0.010,-0.143,0.097,0.113,0.016,0.459,0.205,-0.254,-0.097,-0.113,-0.016,0.010,0.031,0.021,3.900,4.226,0.326,-394458.255,-397089.054,-2630.799,-394496.247,-397127.621,-2631.373,-0.692,-0.626,0.066,205.299,297.643,347.007,1.247,12.496,3.152,-959.769,-958.050,-1.719,-0.317,-0.450,0.133,-0.024,0.135,-0.159,0.171,0.158,0.013,0.293,0.585,-0.292,-0.171,-0.158,-0.013,0.050,0.021,0.028,2.237,2.431,-0.194,-602243.077,-601163.243,-1079.834,-602262.364,-601182.385,-1079.979
Allylamine ,N145,N-Nucleophile,MeCN,14.370,0.660,-172.144,-173.306,-1.162,-0.369,-0.245,0.124,0.155,0.004,-0.151,0.107,0.121,0.014,0.524,0.249,-0.275,-0.107,-0.121,-0.014,0.011,0.029,0.018,1.929,1.887,-0.042,-107953.163,-108686.328,-733.165,-107973.972,-108707.385,-733.412,-0.851,-0.848,0.003,57.094,127.280,118.518,1.091,7.729,1.524,-132.801,-131.970,-0.831,-0.341,-0.475,0.134,0.029,0.156,-0.127,0.156,0.160,-0.004,0.370,0.631,-0.261,-0.156,-0.160,0.004,0.033,0.020,0.013,4.728,4.934,-0.206,-83302.890,-82779.224,-523.666,-83320.775,-82796.997,-523.778
2-Aminobutan-1-ol ,N146,N-Nucleophile,DMSO,14.390,0.670,-287.260,-289.105,-1.845,-0.393,-0.246,0.147,0.161,0.042,-0.119,0.116,0.102,-0.014,0.554,0.288,-0.266,-0.116,-0.102,0.014,0.012,0.018,0.006,1.311,1.368,0.057,-180149.658,-181314.248,-1164.590,-180174.846,-181339.860,-1165.014,-0.867,-0.862,0.005,89.136,160.702,166.758,1.097,7.866,1.796,-553.272,-551.617,-1.655,-0.237,-0.369,0.132,0.028,0.154,-0.126,0.105,0.108,-0.003,0.265,0.523,-0.258,-0.105,-0.108,0.003,0.021,0.011,0.010,5.487,6.084,-0.597,-347129.964,-346087.646,-1042.318,-347152.046,-346109.226,-1042.820
"2-Methyl-1,4,5,6-tetrahydropyrimidine ",N147,N-Nucleophile,MeCN,14.430,0.790,-304.138,-306.143,-2.005,-0.340,-0.219,0.121,0.153,0.029,-0.124,0.094,0.095,0.001,0.493,0.248,-0.245,-0.094,-0.095,-0.001,0.009,0.018,0.009,4.054,4.300,0.246,-190743.602,-192008.164,-1264.562,-190767.665,-192032.995,-1265.330,-0.719,-0.643,0.076,98.146,166.511,172.416,1.112,8.239,1.758,-132.801,-131.970,-0.831,-0.341,-0.475,0.134,0.029,0.156,-0.127,0.156,0.160,-0.004,0.370,0.631,-0.261,-0.156,-0.160,0.004,0.033,0.020,0.013,4.728,4.934,-0.206,-83302.890,-82779.224,-523.666,-83320.775,-82796.997,-523.778
"1-Methyl-2,3,4,6,7,8-hexahydro-1H-pyrimido[1,2-a]pyrimidine (MeTBD)",N148,N-Nucleophile,Dichloromethane,14.430,0.810,-475.130,-478.256,-3.126,-0.324,-0.207,0.117,0.152,0.031,-0.121,0.086,0.088,0.002,0.476,0.238,-0.238,-0.086,-0.088,-0.002,0.008,0.016,0.009,3.595,3.495,-0.100,-297985.965,-299957.594,-1971.629,-298014.441,-299986.992,-1972.551,-0.726,-0.644,0.082,153.225,221.982,252.592,1.149,9.454,2.201,-959.769,-958.050,-1.719,-0.317,-0.450,0.133,-0.024,0.135,-0.159,0.171,0.158,0.013,0.293,0.585,-0.292,-0.171,-0.158,-0.013,0.050,0.021,0.028,2.237,2.431,-0.194,-602243.077,-601163.243,-1079.834,-602262.364,-601182.385,-1079.979
"2,3,5,6-Tetrahydro-1H-imidazo[1,2-a]imidazole (TBO)",N149,N-Nucleophile,Dichloromethane,14.440,0.790,-358.004,-360.285,-2.281,-0.334,-0.215,0.119,0.156,0.042,-0.114,0.089,0.087,-0.003,0.490,0.257,-0.233,-0.089,-0.087,0.003,0.008,0.015,0.006,4.733,4.424,-0.309,-224548.001,-225985.572,-1437.571,-224571.595,-226009.614,-1438.019,-0.702,-0.642,0.060,111.145,167.048,174.183,1.108,8.328,1.774,-959.769,-958.050,-1.719,-0.317,-0.450,0.133,-0.024,0.135,-0.159,0.171,0.158,0.013,0.293,0.585,-0.292,-0.171,-0.158,-0.013,0.050,0.021,0.028,2.237,2.431,-0.194,-602243.077,-601163.243,-1079.834,-602262.364,-601182.385,-1079.979
"THTP (3,5,6,7-tetrahydro-2H-thiazolo[3,2-a]pyrimidine)",N150,N-Nucleophile,Dichloromethane,14.450,0.780,-739.539,-742.464,-2.925,-0.334,-0.222,0.112,0.143,0.006,-0.137,0.096,0.108,0.013,0.477,0.228,-0.249,-0.096,-0.108,-0.013,0.010,0.026,0.016,6.215,6.011,-0.204,-463954.783,-465796.962,-1842.179,-463980.547,-465823.302,-1842.755,-0.689,-0.604,0.085,142.222,190.285,208.704,1.119,9.051,2.033,-959.769,-958.050,-1.719,-0.317,-0.450,0.133,-0.024,0.135,-0.159,0.171,0.158,0.013,0.293,0.585,-0.292,-0.171,-0.158,-0.013,0.050,0.021,0.028,2.237,2.431,-0.194,-602243.077,-601163.243,-1079.834,-602262.364,-601182.385,-1079.979
Dipropylamine ,N151,N-Nucleophile,MeCN,14.510,0.800,-290.458,-292.507,-2.049,-0.362,-0.226,0.136,0.159,0.044,-0.115,0.102,0.091,-0.011,0.521,0.270,-0.251,-0.102,-0.091,0.011,0.010,0.015,0.005,1.364,1.261,-0.103,-182121.665,-183416.060,-1294.395,-182149.731,-183443.163,-1293.433,-0.759,-0.689,0.070,101.190,199.052,213.422,1.153,10.196,2.340,-132.801,-131.970,-0.831,-0.341,-0.475,0.134,0.029,0.156,-0.127,0.156,0.160,-0.004,0.370,0.631,-0.261,-0.156,-0.160,0.004,0.033,0.020,0.013,4.728,4.934,-0.206,-83302.890,-82779.224,-523.666,-83320.775,-82796.997,-523.778
4-(2-(Fluorodiphenylmethyl)pyrrolidin-1-yl)pyridine,N152,N-Nucleophile,Dichloromethane,14.570,0.750,-1053.899,-1060.593,-6.694,-0.311,-0.216,0.095,0.117,-0.029,-0.146,0.097,0.123,0.026,0.428,0.187,-0.241,-0.097,-0.123,-0.026,0.011,0.040,0.029,7.651,8.075,0.424,-661064.125,-665280.491,-4216.365,-661107.825,-665325.589,-4217.764,-0.602,-0.532,0.070,332.414,378.305,478.923,1.278,13.955,3.448,-959.769,-958.050,-1.719,-0.317,-0.450,0.133,-0.024,0.135,-0.159,0.171,0.158,0.013,0.293,0.585,-0.292,-0.171,-0.158,-0.013,0.050,0.021,0.028,2.237,2.431,-0.194,-602243.077,-601163.243,-1079.834,-602262.364,-601182.385,-1079.979
"2-Methyl-1,4,5,6-tetrahydropyrimidine ",N153,N-Nucleophile,DMSO,14.580,0.790,-304.138,-306.143,-2.005,-0.340,-0.219,0.121,0.153,0.029,-0.124,0.094,0.095,0.001,0.493,0.248,-0.245,-0.094,-0.095,-0.001,0.009,0.018,0.009,4.075,4.316,0.241,-190743.671,-192008.228,-1264.557,-190767.741,-192033.051,-1265.310,-0.719,-0.643,0.076,98.146,166.511,172.417,1.112,8.239,1.758,-553.272,-551.617,-1.655,-0.237,-0.369,0.132,0.028,0.154,-0.126,0.105,0.108,-0.003,0.265,0.523,-0.258,-0.105,-0.108,0.003,0.021,0.011,0.010,5.487,6.084,-0.597,-347129.964,-346087.646,-1042.318,-347152.046,-346109.226,-1042.820
4-(Morpholino)pyridine ,N154,N-Nucleophile,Dichloromethane,14.590,0.690,-531.667,-535.029,-3.362,-0.324,-0.222,0.102,0.126,-0.016,-0.142,0.099,0.119,0.020,0.450,0.206,-0.244,-0.099,-0.119,-0.020,0.011,0.034,0.023,3.066,4.002,0.936,-333483.137,-335601.252,-2118.116,-333511.609,-335630.944,-2119.334,-0.586,-0.526,0.060,164.204,219.522,246.640,1.154,10.353,2.630,-959.769,-958.050,-1.719,-0.317,-0.450,0.133,-0.024,0.135,-0.159,0.171,0.158,0.013,0.293,0.585,-0.292,-0.171,-0.158,-0.013,0.050,0.021,0.028,2.237,2.431,-0.194,-602243.077,-601163.243,-1079.834,-602262.364,-601182.385,-1079.979
"2-Phenyl-1,4,5,6-tetrahydropyrimidine ",N155,N-Nucleophile,Dichloromethane,14.620,0.720,-494.685,-497.923,-3.238,-0.328,-0.225,0.103,0.109,-0.034,-0.143,0.110,0.130,0.020,0.437,0.191,-0.246,-0.110,-0.130,-0.020,0.014,0.044,0.030,3.730,3.746,0.016,-310276.352,-312317.016,-2040.664,-310305.058,-312346.347,-2041.289,-0.710,-0.639,0.071,160.216,229.524,253.858,1.184,11.555,2.626,-959.769,-958.050,-1.719,-0.317,-0.450,0.133,-0.024,0.135,-0.159,0.171,0.158,0.013,0.293,0.585,-0.292,-0.171,-0.158,-0.013,0.050,0.021,0.028,2.237,2.431,-0.194,-602243.077,-601163.243,-1079.834,-602262.364,-601182.385,-1079.979
Diethylamine ,N156,N-Nucleophile,Water,14.680,0.530,-212.375,-213.863,-1.488,-0.368,-0.227,0.141,0.161,0.045,-0.116,0.104,0.091,-0.013,0.529,0.272,-0.257,-0.104,-0.091,0.013,0.010,0.015,0.005,1.376,1.282,-0.094,-133163.650,-134103.132,-939.482,-133187.141,-134126.968,-939.826,-0.716,-0.689,0.027,73.137,159.300,158.883,1.123,9.153,1.902,-76.455,-76.055,-0.400,-0.304,-0.505,0.201,0.040,0.164,-0.124,0.132,0.171,-0.039,0.344,0.669,-0.325,-0.132,-0.171,0.039,0.025,0.022,0.004,2.301,2.356,-0.055,-47960.306,-47708.291,-252.015,-47973.755,-47721.697,-252.058
4-Pyridone anion ,N157,N-Nucleophile,Water,14.760,0.480,-321.155,-323.122,-1.967,-0.275,-0.183,0.092,0.162,0.015,-0.147,0.057,0.084,0.028,0.437,0.198,-0.239,-0.057,-0.084,-0.028,0.004,0.018,0.014,3.510,2.864,-0.646,-201470.672,-202708.478,-1237.806,-201491.693,-202729.837,-1238.144,-0.694,-0.605,0.089,94.091,137.585,133.789,1.088,7.287,1.696,-76.455,-76.055,-0.400,-0.304,-0.505,0.201,0.040,0.164,-0.124,0.132,0.171,-0.039,0.344,0.669,-0.325,-0.132,-0.171,0.039,0.025,0.022,0.004,2.301,2.356,-0.055,-47960.306,-47708.291,-252.015,-47973.755,-47721.697,-252.058
Theophylline anion,N158,N-Nucleophile,DMSO,14.780,0.710,-636.992,-640.766,-3.774,-0.274,-0.189,0.085,0.162,0.003,-0.159,0.056,0.093,0.037,0.436,0.192,-0.244,-0.056,-0.093,-0.037,0.004,0.023,0.019,6.420,6.143,-0.277,-399611.954,-401987.268,-2375.314,-399641.928,-402018.173,-2376.244,-0.723,-0.579,0.144,179.156,207.627,223.674,1.165,9.850,2.342,-553.272,-551.617,-1.655,-0.237,-0.369,0.132,0.028,0.154,-0.126,0.105,0.108,-0.003,0.265,0.523,-0.258,-0.105,-0.108,0.003,0.021,0.011,0.010,5.487,6.084,-0.597,-347129.964,-346087.646,-1042.318,-347152.046,-346109.226,-1042.820
4-(Morpholino)pyridine ,N159,N-Nucleophile,MeCN,14.800,0.630,-531.669,-535.030,-3.361,-0.324,-0.222,0.102,0.125,-0.017,-0.142,0.100,0.120,0.020,0.449,0.205,-0.244,-0.100,-0.120,-0.020,0.011,0.035,0.024,3.189,4.159,0.970,-333484.079,-335602.147,-2118.068,-333512.627,-335631.832,-2119.205,-0.592,-0.532,0.060,164.204,219.543,246.665,1.154,10.353,2.629,-132.801,-131.970,-0.831,-0.341,-0.475,0.134,0.029,0.156,-0.127,0.156,0.160,-0.004,0.370,0.631,-0.261,-0.156,-0.160,0.004,0.033,0.020,0.013,4.728,4.934,-0.206,-83302.890,-82779.224,-523.666,-83320.775,-82796.997,-523.778
4-(Dimethylamino)pyridine ,N160,N-Nucleophile,DMSO,14.800,0.670,-379.875,-382.362,-2.487,-0.311,-0.215,0.096,0.132,-0.013,-0.145,0.090,0.114,0.025,0.443,0.202,-0.241,-0.090,-0.114,-0.025,0.009,0.032,0.023,5.728,6.334,0.606,-238261.504,-239828.824,-1567.319,-238288.185,-239856.320,-1568.135,-0.614,-0.543,0.071,122.168,187.532,201.012,1.130,9.046,2.125,-553.272,-551.617,-1.655,-0.237,-0.369,0.132,0.028,0.154,-0.126,0.105,0.108,-0.003,0.265,0.523,-0.258,-0.105,-0.108,0.003,0.021,0.011,0.010,5.487,6.084,-0.597,-347129.964,-346087.646,-1042.318,-347152.046,-346109.226,-1042.820
4-Nitro-imidazole anion ,N161,N-Nucleophile,DMSO,14.810,0.710,-427.930,-430.375,-2.445,-0.300,-0.216,0.084,0.097,-0.061,-0.158,0.102,0.139,0.037,0.397,0.155,-0.242,-0.102,-0.139,-0.037,0.013,0.062,0.049,1.363,1.375,0.012,-268484.761,-270021.922,-1537.161,-268507.673,-270045.248,-1537.575,-0.658,-0.585,0.073,112.067,135.474,127.571,1.106,8.138,1.845,-553.272,-551.617,-1.655,-0.237,-0.369,0.132,0.028,0.154,-0.126,0.105,0.108,-0.003,0.265,0.523,-0.258,-0.105,-0.108,0.003,0.021,0.011,0.010,5.487,6.084,-0.597,-347129.964,-346087.646,-1042.318,-347152.046,-346109.226,-1042.820
Maleimide anion ,N162,N-Nucleophile,DMSO,14.870,0.760,-357.014,-359.051,-2.037,-0.335,-0.218,0.117,0.099,-0.052,-0.151,0.118,0.135,0.017,0.434,0.166,-0.268,-0.118,-0.135,-0.017,0.016,0.055,0.039,6.926,6.017,-0.909,-223988.620,-225269.580,-1280.960,-224010.254,-225291.534,-1281.280,-0.890,-0.764,0.126,96.064,126.479,117.963,1.088,7.597,1.712,-553.272,-551.617,-1.655,-0.237,-0.369,0.132,0.028,0.154,-0.126,0.105,0.108,-0.003,0.265,0.523,-0.258,-0.105,-0.108,0.003,0.021,0.011,0.010,5.487,6.084,-0.597,-347129.964,-346087.646,-1042.318,-347152.046,-346109.226,-1042.820
4-(Dimethylamino)pyridine ,N163,N-Nucleophile,DMF,14.900,0.670,-379.875,-382.362,-2.487,-0.311,-0.215,0.096,0.132,-0.013,-0.145,0.090,0.114,0.025,0.443,0.202,-0.241,-0.090,-0.114,-0.025,0.009,0.032,0.023,5.714,6.318,0.604,-238261.450,-239828.771,-1567.321,-238288.129,-239856.258,-1568.129,-0.613,-0.542,0.071,122.168,187.533,201.006,1.130,9.046,2.125,-248.592,-247.066,-1.526,-0.250,-0.375,0.125,0.018,0.157,-0.139,0.116,0.109,0.007,0.268,0.532,-0.264,-0.116,-0.109,-0.007,0.025,0.011,0.014,5.090,5.291,-0.201,-155925.346,-154963.229,-962.117,-155948.003,-154985.997,-962.006
"(2S,3S)-3-Isopropyl-2-phenyl-3,4-dihydro-2H-benzo[4,5]thiazolo[3,2-a]pyrimidine",N164,N-Nucleophile,Dichloromethane,14.960,0.640,-1237.766,-1244.004,-6.238,-0.288,-0.206,0.082,0.117,-0.022,-0.139,0.086,0.114,0.029,0.405,0.184,-0.221,-0.086,-0.114,-0.029,0.009,0.035,0.026,5.232,4.716,-0.516,-776464.833,-780393.889,-3929.056,-776505.823,-780436.460,-3930.637,-0.681,-0.592,0.089,308.441,359.990,448.038,1.272,15.418,3.658,-959.769,-958.050,-1.719,-0.317,-0.450,0.133,-0.024,0.135,-0.159,0.171,0.158,0.013,0.293,0.585,-0.292,-0.171,-0.158,-0.013,0.050,0.021,0.028,2.237,2.431,-0.194,-602243.077,-601163.243,-1079.834,-602262.364,-601182.385,-1079.979
